time,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z
2021-06-17T15:56:23.402,0.03,-0.4,9.86,-0.0625,0.0,0.0,-16.875,8.5,-45.5625
2021-06-17T15:56:23.443,0.07,-0.38,9.85,0.125,-0.0625,0.125,-16.875,8.5,-45.5625
2021-06-17T15:56:23.456,0.05,-0.38,9.87,0.0,-0.125,0.0625,-16.5,9.25,-45.5625
2021-06-17T15:56:23.469,0.04,-0.4,9.82,0.0625,-0.0625,-0.0625,-16.5,9.25,-45.5625
2021-06-17T15:56:23.482,0.05,-0.41,9.86,0.0,-0.125,0.0625,-16.5,9.25,-45.5625
2021-06-17T15:56:23.495,0.04,-0.41,9.86,0.0,-0.0625,-0.0625,-16.5,9.25,-45.5625
2021-06-17T15:56:23.507,0.07,-0.4,9.85,0.0625,0.0625,0.0,-16.5,8.1875,-44.75
2021-06-17T15:56:23.52,0.04,-0.41,9.84,0.0625,0.125,0.0625,-16.5,8.1875,-44.75
2021-06-17T15:56:23.533,0.07,-0.4,9.83,0.0,0.0,0.0,-16.5,8.1875,-44.75
2021-06-17T15:56:23.546,0.05,-0.39,9.86,0.0,0.0625,0.0625,-16.5,8.1875,-44.75
2021-06-17T15:56:23.56,0.05,-0.39,9.85,0.0,-0.25,0.0625,-16.1875,8.1875,-45.5625
2021-06-17T15:56:23.572,0.06,-0.41,9.84,0.0,0.0,0.0,-16.1875,8.1875,-45.5625
2021-06-17T15:56:23.585,0.04,-0.4,9.84,0.0625,0.0,0.125,-16.1875,8.1875,-45.5625
2021-06-17T15:56:23.598,0.04,-0.4,9.84,0.0,0.0625,-0.125,-16.1875,8.1875,-45.5625
2021-06-17T15:56:23.611,0.06,-0.41,9.82,0.0,0.0625,0.0,-15.75,9.25,-45.5625
2021-06-17T15:56:23.624,0.06,-0.38,9.83,0.125,0.0,-0.125,-15.75,9.25,-45.5625
2021-06-17T15:56:23.637,0.04,-0.4,9.85,0.0,0.125,-0.0625,-15.75,9.25,-45.5625
2021-06-17T15:56:23.65,0.05,-0.4,9.86,0.125,0.0,0.0625,-15.75,9.25,-45.5625
2021-06-17T15:56:23.67,0.05,-0.39,9.82,-0.0625,0.125,0.0625,-16.1875,8.875,-45.5625
2021-06-17T15:56:23.684,0.05,-0.41,9.85,0.0,0.0625,0.125,-16.1875,8.875,-45.5625
2021-06-17T15:56:23.697,0.07,-0.42,9.85,-0.0625,0.0,0.125,-16.1875,9.25,-45.25
2021-06-17T15:56:23.709,0.03,-0.39,9.83,0.0,0.0625,0.0625,-16.1875,9.25,-45.25
2021-06-17T15:56:23.722,0.04,-0.4,9.84,0.0,-0.0625,0.0625,-16.1875,9.25,-45.25
2021-06-17T15:56:23.735,0.05,-0.4,9.83,0.0,0.0,0.125,-16.1875,9.25,-45.25
2021-06-17T15:56:23.748,0.05,-0.41,9.87,0.0,-0.125,0.0625,-15.75,9.25,-45.5625
